jday	Time	u_ref	T_ref	d_ref	precip	q_par	T_canopy	d_canopy	p_atm	CO2_atm	T0	Tsurf	Troot	Zw	lai	A	Ec
331	0	0.8500000000000146	16.3	1.849749759007568	0.005083147355190232	0	17.87852458740383	2.045339755556984	77.44926265875492	399	17.343999999999998	17.343999999999998	17.343999999999998	10	1	-999	-999
331	0.5	0.8500000000000146	14.4	1.6366975154180312	0.11675175017558	0	16.813419539456934	1.9120484239747249	77.44926265875492	399	17.906	17.906	17.906	10	1	-999	-999
331	1	0.8500000000000146	16.1	1.8266752556824237	0.005306992544897287	0.001	17.943224181468025	2.0542286384948367	77.44926265875492	399	17.458	17.458	17.458	10	1	-999	-999
331	1.5	0.8500000000000146	14.6	1.658321032934357	0.31970490560242554	0	17.558330761941885	2.0050280429988785	77.44926265875492	399	17.866	17.866	17.866	10	1	-999	-999
331	2	0.8500000000000146	21.3	2.53446593044134	0.005083147355190232	0.001	17.29366549964001	1.973079971253676	77.44926265875492	399	17.572	17.572	17.572	10	1	-999	-999
331	2.5	0.8500000000000146	23.8	2.94974334083745	0.005083147355190232	0	17.62626232562637	2.0134688996636503	77.44926265875492	399	17.546	17.546	17.546	10	1	-999	-999
331	3	0.8500000000000146	21.3	2.5342118486438023	0.005083147355190232	0.001	17.487662943032166	1.9972624897688152	77.44926265875492	399	17.502	17.502	17.502	10	1	-999	-999
331	3.5	0.8500000000000146	17.4	1.979674075397232	0.005083147355190232	0	18.142158829300822	2.075153756007162	77.44926265875492	399	17.566	17.566	17.566	10	1	-999	-999
331	4	0.8500000000000146	20.1	2.351293582033245	0.005010866081657153	0	18.23669728111833	2.0923674963004872	77.44926265875492	399	17.81	17.81	17.81	10	1	-999	-999
331	4.5	0.8500000000000146	19.3	2.235595902692448	0.005010866081657153	0	18.507005628951337	2.127018033368573	77.44926265875492	399	18.108	18.108	18.108	10	1	-999	-999
331	5	0.8500000000000146	21.3	2.5301465398831944	0.05189012530650734	0.675	18.02260212994839	2.061955189852163	77.44926265875492	399	17.983999999999998	17.983999999999998	17.983999999999998	10	1	-999	-999
331	5.5	0.8500000000000146	21	2.488969184565043	0.004063382911469583	104.4	17.77105542146838	2.0345899292750067	77.44926265875492	399	17.663999999999998	17.663999999999998	17.663999999999998	10	1	-999	-999
331	6	0.8500000000000146	20.3	2.3812672766390643	0.004063382911469583	116.8	17.789691191989117	2.034675657564509	77.44926265875492	399	17.47	17.47	17.47	10	1	-999	-999
331	6.5	0.8500000000000146	21.6	2.5796503232001484	0.004063382911469583	117	17.457470872439796	1.9917294822818727	77.44926265875492	399	17.656666666666666	17.656666666666666	17.656666666666666	10	1	-999	-999
331	7	0.8500000000000146	20.1	2.35270945532632	0.004063382911469583	118.2	17.75563862752237	2.031122749452646	77.44926265875492	399	17.142	17.142	17.142	10	1	-999	-999
331	7.5	0.8500000000000146	21.5	2.564683640057105	0.004063382911469583	133.5	16.920947222141756	1.9257311867575835	77.44926265875492	399	17.1	17.1	17.1	10	1	-999	-999
331	8	0.8500000000000146	19.7	2.294644191644559	0.011342218263246683	151.6	18.884126710530147	2.1805351060607308	77.44926265875492	399	18.648	18.648	18.648	10	1	-999	-999
331	8.5	0.8500000000000146	20.5	2.410609693990412	0.004448162189546554	168	19.874589349425847	2.31877816930184	77.44926265875492	399	19.308	19.308	19.308	10	1	-999	-999
331	9	0.8500000000000146	19.3	2.2313294982979963	0.004448162189546554	214.6	19.9573262859802	2.3249638293502417	77.44926265875492	399	19.296	19.296	19.296	10	1	-999	-999
331	9.5	0.8500000000000146	19.6	2.2756361457607186	0.003991101637936504	357.1	20.2603949766522	2.371262295256639	77.44926265875492	399	19.07	19.07	19.07	10	1	-999	-999
331	10	0.8500000000000146	19.4	2.2484228003571296	0.003991101637936504	381.2	19.97100270436522	2.330011617969282	77.44926265875492	399	18.626	18.626	18.626	10	1	-999	-999
331	10.5	0.8500000000000146	19.3	2.234922259893324	0.003991101637936504	309.1075032581019	20.150188411746136	2.356670015056164	77.44926265875492	399	19.123869819992365	19.123869819992365	19.123869819992365	10	1	-999	-999
